working time,external_temp,external_humidity
2020-03-24,15.993428306022466,49.54877109675948
2020-03-24,14.723471397657631,40.7411009610885
2020-03-24,16.295377076201383,48.863333109185646
2020-03-24,18.04605971281605,48.563404701028816
2020-03-24,14.531693250553328,48.34919434996954
2020-03-24,14.531726086101639,50.31759456581451
2020-03-24,18.158425631014783,50.75673540613386
2020-03-24,16.534869458305817,45.6770482089267
2020-03-24,14.061051228130095,62.727147339712644
2020-03-24,16.08512008717193,38.305193707969835
2020-03-24,14.073164614375075,42.79029891530104
2020-03-24,14.068540492859487,77.79963624223555
2020-03-24,15.48392454313207,39.6200864501077
2020-03-24,11.173439510684403,36.462453252902414
2020-03-24,11.550164334973935,57.34476745001218
2020-03-24,13.875424941518055,29.22880146226126
2020-03-24,12.974337759331153,47.64726090027561
2020-03-24,15.628494665190548,71.45824925076488
2020-03-24,13.183951848957578,34.550640778466
2020-03-24,12.175392597329417,30.180355142612868
2020-03-24,17.931297537843108,35.00818798042302
2020-03-24,14.548447399026928,58.98359568346986
2020-03-24,15.135056409375848,61.247767199858124
2020-03-24,12.150503627573087,44.87411203021491
2020-03-24,13.911234550949635,56.83212404001069
2020-03-24,15.221845179419732,63.9025532751199
2020-03-24,12.698012845155395,67.87346414429825
2020-03-24,15.751396036691343,47.53664718820152
2020-03-24,13.79872262016239,26.985282823300132
2020-03-24,14.416612500413446,41.79121077590313
2020-03-24,13.796586775541206,45.73195805064742
2020-03-24,18.704556369017876,47.41061203421609
2020-03-24,14.973005550524132,48.1214059899128
2020-03-24,12.884578142088198,61.188945979306695
2020-03-24,16.645089824206377,62.744284266875816
2020-03-24,12.558312700057956,48.28326346075217
2020-03-24,15.417727190009511,60.98484876051819
2020-03-24,11.080659752240448,53.57661366631089
2020-03-24,12.343627902203139,50.64505972862572
2020-03-24,15.393722471738247,59.06544157109964
2020-03-24,16.47693315999082,50.72252048237916
2020-03-24,15.34273656237994,70.57811177097761
2020-03-24,14.76870343522352,35.61588833205441
2020-03-24,14.397792608821423,44.84829100907982
2020-03-24,12.042956019265144,48.7348110304605
