idx,Machine_Name,Item No,working time,Thickness 1(mm),Thickness 2(mm),weld force(bar),weld current(kA),weld Voltage(v),weld time(ms),Thickness 1(mm)_scaled,Thickness 2(mm)_scaled,weld force(bar)_scaled,weld current(kA)_scaled,weld Voltage(v)_scaled,weld time(ms)_scaled,anomaly_score,is_anomaly
1,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.151482478677592,-1.4297448612718882,-0.1051647318987287,0.4329079702736452,0.21471224959217844,0
2,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.4297448612718882,-0.1051647318987287,0.4329079702736452,0.23957113498244303,0
3,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.54,2.7030000000000003,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.7019634158659859,-1.7688151628204518,0.1251757046182882,-1.1470878162667193,0.16125743209445054,0
4,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.54,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.7019634158659859,-1.7688151628204518,0.1251757046182882,0.4329079702736452,0.19899074640638464,0
5,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.704,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.5427682951214228,0.24034592287672,0.4329079702736452,0.22049805231730613,0
6,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.56,2.704,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0618789949582977,-1.5427682951214228,0.24034592287672,-1.1470878162667193,0.1893986828803284,0
7,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.53,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.2752404685941969,-1.8818385966699864,-0.2203349501572117,0.4329079702736452,0.18496233271279627,0
8,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.53,2.7,70.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.151482478677592,-1.8818385966699864,-0.2203349501572117,-2.727083602807084,0.03384596626669811,0
9,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,71.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.3648439523134912,-1.4297448612718882,-0.1051647318987287,-1.1470878162667193,0.19201453692986598,0
10,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.3648439523134912,-1.4297448612718882,-0.1051647318987287,0.4329079702736452,0.21163246481661285,0
11,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.590000000000002,2.698,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.151482478677592,-1.2036979935728591,-0.4506753866742287,0.4329079702736452,0.21190719672666047,0
12,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.698,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.2036979935728591,-0.4506753866742287,0.4329079702736452,0.22934106654172892,0
13,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.699,73.0,-2.220446049250313e-16,-2.220446049250313e-16,0.7019634158659859,-1.2036979935728591,-0.3355051684157458,2.01290375681401,0.08901300723747796,0
14,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.699,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.7019634158659859,-1.2036979935728591,-0.3355051684157458,-1.1470878162667193,0.2021375322629061,0
15,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.7,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.2036979935728591,-0.2203349501572117,-1.1470878162667193,0.22080952658022834,0
16,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.2036979935728591,-0.2203349501572117,0.4329079702736452,0.2457726367945991,0
17,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.58,2.705,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0618789949582977,-1.3167214274223935,0.3555161411352541,0.4329079702736452,0.22305181583891026,0
18,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.58,2.705,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.2752404685941969,-1.3167214274223935,0.3555161411352541,0.4329079702736452,0.2301606645426374,0
19,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.36,14.55,2.704,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300867,-1.6557917289709574,0.24034592287672,0.4329079702736452,0.2098410112790337,0
20,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.36,14.55,2.704,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300867,-1.6557917289709574,0.24034592287672,0.4329079702736452,0.2098410112790337,0
21,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.55,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0618789949582977,-1.6557917289709574,0.1251757046182882,0.4329079702736452,0.20728330586780963,0
22,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.55,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0618789949582977,-1.6557917289709574,0.1251757046182882,0.4329079702736452,0.20728330586780963,0
23,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.4297448612718882,-0.1051647318987287,-1.1470878162667193,0.21466849285153883,0
24,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.4297448612718882,-0.1051647318987287,-1.1470878162667193,0.21466849285153883,0
25,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.58,2.699,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.9153248895018756,-1.3167214274223935,-0.3355051684157458,-1.1470878162667193,0.1786578690179959,0
26,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.58,2.699,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.9153248895018756,-1.3167214274223935,-0.3355051684157458,-1.1470878162667193,0.1786578690179959,0
27,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3,14.61,2.7,71.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.7915668995852801,-0.97765112587383,-0.2203349501572117,-1.1470878162667193,0.19949974527379544,0
28,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3,14.61,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.7915668995852801,-0.97765112587383,-0.2203349501572117,0.4329079702736452,0.220703288215921,0
29,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.704,73.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.5427682951214228,0.24034592287672,2.01290375681401,0.08228812630198279,0
30,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.704,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.5427682951214228,0.24034592287672,-1.1470878162667193,0.19490250909324086,0
31,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.71,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.9153248895018756,-1.2036979935728591,0.93136723242772,0.4329079702736452,0.17791318811955537,0
32,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.590000000000002,2.71,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.9153248895018756,-1.2036979935728591,0.93136723242772,-1.1470878162667193,0.14405216913231295,0
33,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.707,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.2036979935728591,0.58585657765222,0.4329079702736452,0.21380838241648925,0
34,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.707,73.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.2036979935728591,0.58585657765222,2.01290375681401,0.07811132596920356,0
35,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.570000000000002,2.704,71.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.151482478677592,-1.4297448612718882,0.24034592287672,-1.1470878162667193,0.18455126309068665,0
36,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.704,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.4297448612718882,0.24034592287672,0.4329079702736452,0.22952156396262463,0
37,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.38,14.62,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.9153248895018756,-0.8646276920243355,-0.2203349501572117,0.4329079702736452,0.2307624622636481,0
38,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.31,14.62,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.578205425949381,-0.8646276920243355,-0.2203349501572117,0.4329079702736452,0.23420650476337757,0
