,Injection_Time,Filling_Time,Plasticizing_Time,Cycle_Time,Clamp_Close_Time,Cushion_Position,Plasticizing_Position,Max_Injection_Speed,Max_Screw_RPM,Average_Screw_RPM,Max_Injection_Pressure,Max_Switch_Over_Pressure,Max_Back_Pressure,Average_Back_Pressure,Barrel_Temperature_1,Barrel_Temperature_2,Barrel_Temperature_3,Barrel_Temperature_4,Barrel_Temperature_5,Barrel_Temperature_6,Hopper_Temperature,Mold_Temperature_3,Mold_Temperature_4
Injection_Time,1.0,0.1130215807747908,-0.09544566627722466,-0.05063423841362935,-0.14863567996476218,0.1729376343680255,0.05283249544298435,-0.19399653397298666,0.0002727009859415826,-0.039593597150580036,0.19982467947120017,0.18513408184165311,0.15520054659189533,0.1585091081215943,0.07861977490404458,0.028058900952494976,0.03476977719600453,0.04055048318736294,0.006300543262412113,-0.007148755214399815,-0.08140428741816974,0.13518962183768257,0.14302601815773452
Filling_Time,0.1130215807747908,1.0,-0.3440738544882706,-0.1135564251645616,-0.3688107130401414,-0.7697429468191498,0.2760970328205446,-0.7766169873490794,-0.02197825648183901,-0.09230129217765917,0.8019170674289272,0.7372140502679763,0.6440544431332472,0.6311072335644188,0.016078981963574372,0.04254393551257669,0.022247028934551,0.17281096175430663,-0.08725866066583925,-0.08295626764599628,-0.37948494855715403,0.36382116395131003,0.40705674870727215
Plasticizing_Time,-0.09544566627722466,-0.3440738544882706,1.0,0.10849440398153772,0.369844877631009,0.35072378880129823,-0.16513733913205658,0.48400120760918014,0.039342727500922096,0.28324838177816425,-0.2589177416021346,-0.38892378294357033,-0.44461361025736446,-0.5477880750577083,0.012557167978134734,0.010639680516633014,-0.08572085987306824,-0.26069900776024113,0.028653911607207597,-0.04066928300818727,0.28484351941187713,-0.5259934160569611,-0.5588070302186462
Cycle_Time,-0.05063423841362935,-0.1135564251645616,0.10849440398153772,1.0,0.23774914573564634,0.09932574257668013,-0.11367111311046224,0.1764007280116505,0.026066851643912654,0.10567876350138641,-0.11693359754712528,-0.13956727536406494,-0.08365256883708969,-0.11974059557829106,-0.07145448664479712,-0.012184998622464246,0.008669350980372794,0.05716251179124226,-0.05434858316070698,-0.03394932438389437,0.11411759064672962,-0.2079159722152409,-0.2156839365544159
Clamp_Close_Time,-0.14863567996476218,-0.3688107130401414,0.369844877631009,0.23774914573564634,1.0,0.46134789053342845,-0.6445109855359606,0.5710292732603476,-0.008313714163559183,0.15212784273662178,-0.4005540373034566,-0.5041892025782663,-0.43738540007860593,-0.48749998904296526,0.02014301950007137,0.061298914197548786,0.0006257905991854413,0.011996091862561693,-0.014366367279962223,-0.035580006358327344,0.5561710066046797,-0.35404378127569025,-0.36265820259859227
Cushion_Position,0.1729376343680255,-0.7697429468191498,0.35072378880129823,0.09932574257668013,0.46134789053342845,1.0,-0.38367596851532065,0.821809725348862,0.009020958947493317,0.08168207980715131,-0.8038506325849281,-0.7950347110474476,-0.6820580680923117,-0.6662358131879126,0.017331831558986738,0.01985923629841004,0.034600081689099206,-0.12566721010819246,0.11745540258047299,0.08556113920527518,0.4401117551055453,-0.35114343132135,-0.3975098188534726
Plasticizing_Position,0.05283249544298435,0.2760970328205446,-0.16513733913205658,-0.11367111311046224,-0.6445109855359606,-0.38367596851532065,1.0,-0.4444743442508322,0.03253393766102379,-0.027463173946926787,0.3860073341347048,0.4150632847790604,0.365887650559372,0.38095203067461003,-0.02121032902739972,-0.018773649350473338,-0.010801098104069018,0.053559007737927905,-0.009607600753199639,-0.12411030454404084,-0.476933918733785,0.11552356683655358,0.12184428906805539
Max_Injection_Speed,-0.19399653397298666,-0.7766169873490794,0.48400120760918014,0.1764007280116505,0.5710292732603476,0.821809725348862,-0.4444743442508322,1.0,-0.004178390818768057,0.16758238715117416,-0.8191750058779259,-0.8686943102685103,-0.7425567294337193,-0.7634462130869981,-0.03546702509381255,0.022845032673977844,-0.008600137573704964,-0.14524754794468234,0.0922571435883515,0.07182979876721919,0.5628681857208707,-0.4336448353764015,-0.49164220566526046
Max_Screw_RPM,0.0002727009859415826,-0.02197825648183901,0.039342727500922096,0.026066851643912654,-0.008313714163559183,0.009020958947493317,0.03253393766102379,-0.004178390818768057,1.0,-0.07526488209010818,0.011767140632658357,-0.026824011477598768,-0.02043652580116679,-0.046159907319025695,0.0209692481559257,0.0018771146213289373,0.039954550810755475,-0.042321017874023564,0.013824682794712951,0.001677795645011421,0.04180603499449068,0.014697738213293364,0.013968603615729465
Average_Screw_RPM,-0.039593597150580036,-0.09230129217765917,0.28324838177816425,0.10567876350138641,0.15212784273662178,0.08168207980715131,-0.027463173946926787,0.16758238715117416,-0.07526488209010818,1.0,-0.07450540455181531,-0.06658642101499403,-0.06422338322852847,-0.29960337639266793,-0.08209687475338566,0.08052952996700467,-0.021530925806330793,0.000259158403464565,-0.04826231842406421,-0.02130383018443127,0.031853036859091174,-0.3433732725230002,-0.353148661443317
