feature,smd_defect_vs_normal
Barrel_Temperature_5,0.4845023054050209
Clamp_Close_Time,0.19673337114137537
Plasticizing_Time,0.1948529326525642
Barrel_Temperature_3,-0.16242132556285824
Max_Screw_RPM,0.14961237208212605
Hopper_Temperature,-0.14482367221886122
Average_Screw_RPM,0.13914549694464726
Max_Switch_Over_Pressure,0.12570274473228685
Barrel_Temperature_1,-0.11711102150228327
Plasticizing_Position,-0.10950353703072248
Mold_Temperature_3,-0.09383495744080622
Mold_Temperature_4,-0.08614622151806432
Max_Back_Pressure,0.07761403359056869
Cushion_Position,-0.0655371322319737
Average_Back_Pressure,0.0629413811992512
Barrel_Temperature_2,-0.05361358546240318
Barrel_Temperature_6,0.047508007530219866
Barrel_Temperature_4,-0.04535100294007085
Max_Injection_Speed,-0.04242399090622232
Injection_Time,-0.042015488695630605
Filling_Time,0.02704690553014803
Max_Injection_Pressure,0.02260547238747994
Cycle_Time,0.010815494888932646
