feature_a,feature_b,spearman,pearson
Mold_Temperature_3,Mold_Temperature_4,0.9870140298312005,0.9736475896479386
Max_Back_Pressure,Average_Back_Pressure,0.944221497842624,0.9412799171111103
Max_Injection_Speed,Max_Switch_Over_Pressure,-0.8686943102685103,-0.5596806619353242
Cushion_Position,Max_Injection_Speed,0.821809725348862,0.8005425162646993
Max_Injection_Speed,Max_Injection_Pressure,-0.8191750058779259,-0.8237682149945124
Cushion_Position,Max_Injection_Pressure,-0.8038506325849281,-0.7633374512555271
Filling_Time,Max_Injection_Pressure,0.8019170674289272,0.7747700503089615
Max_Switch_Over_Pressure,Max_Back_Pressure,0.7980095024934833,0.5012145302343346
Cushion_Position,Max_Switch_Over_Pressure,-0.7950347110474476,-0.5004049385294441
Max_Injection_Pressure,Max_Switch_Over_Pressure,0.7909094607901617,0.48170008937730313
Filling_Time,Max_Injection_Speed,-0.7766169873490794,-0.7499085906983168
Filling_Time,Cushion_Position,-0.7697429468191498,-0.7370846890368833
Max_Injection_Speed,Average_Back_Pressure,-0.7634462130869981,-0.750476360913513
Max_Switch_Over_Pressure,Average_Back_Pressure,0.7554897749275825,0.47850902209228874
Max_Injection_Speed,Max_Back_Pressure,-0.7425567294337193,-0.7325322664772543
Filling_Time,Max_Switch_Over_Pressure,0.7372140502679763,0.41450563848367494
